name,description,connectionString,sourceQuery, sortOrder,columnName,dataType,required,primary_key
counterparty,A third party company products are bought from.,connectionStringTotesys,SELECT * FROM counterparty,1,counterparty_id,int,true,true
counterparty,A third party company products are bought from.,connectionStringTotesys,SELECT * FROM counterparty,2,counterparty_legal_name,string,true,false
counterparty,A third party company products are bought from.,connectionStringTotesys,SELECT * FROM counterparty,3,legal_address_id,int,true,false
counterparty,A third party company products are bought from.,connectionStringTotesys,SELECT * FROM counterparty,4,commercial_contact,str,false,false
counterparty,A third party company products are bought from.,connectionStringTotesys,SELECT * FROM counterparty,5,delivery_contact,str,false,false
counterparty,A third party company products are bought from.,connectionStringTotesys,SELECT * FROM counterparty,6,created_at,date,false,false
counterparty,A third party company products are bought from.,connectionStringTotesys,SELECT * FROM counterparty,7,last_updated,date,false,false
currency, Currency table.,connectionStringTotesys,SELECT * FROM currency,1, currency_id,int,false,true
currency, Currency table.,connectionStringTotesys,SELECT * FROM currency,2,currency_code,str,true,false
currency, Currency table.,connectionStringTotesys,SELECT * FROM currency,3,created_at,date,false,false
currency, Currency table.,connectionStringTotesys,SELECT * FROM currency,4,last_updated,date,false,false
date,dim_date,connectionStringTotesys,None,1,date_id,int,true,true
date,dim_date,connectionStringTotesys,None,2,year,int,true,false
date,dim_date,connectionStringTotesys,None,3,month,int,true,false
date,dim_date,connectionStringTotesys,None,4,day,int,true,false
date,dim_date,connectionStringTotesys,None,5,day_of_week,int,true,false
date,dim_date,connectionStringTotesys,None,6,day_name,str,true,false
date,dim_date,connectionStringTotesys,None,7,month_name,str,true,false
date,dim_date,connectionStringTotesys,None,8,quarter,int,true,false
